Gene	NumSamplesWMutation	_01-32942_A2	_02-0634	_03-28591_A1	_04-32876_A1	_05-25054_A1	_05-34912_A1	_05-35099_A1	_S05-10980_A1	_S05-1345_A1	_S06-33729_A1	_S06-35593_A1	_S07-10490_A1	_S07-27732_A1	_S07-3928_B1	_S07-8988_A3	_S08-7409_A1	_S09-19670_C1	_S09-39805_A1	_S1-34360_A3	_S3-29623_A1
CDK6	1	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
IGLL1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: nonsense: 1; 	.	.	.	.	.	.
DUSP2	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.
IGLL5	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.
TGFB1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.
GIGYF2	1	.	.	.	.	.	.	.	.	1:: frameshift indel: 1; 	.	.	.	.	.	.	.	.	.	.	.
EXOC3L1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.
SCN9A	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.
EZH1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.
CCNB1IP1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.
TSHR	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.
PRSS8	1	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
SORBS2	1	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.
ZNF720	1	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
CEBPA	1	.	.	.	.	.	.	1:: nonsense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.
INPPL1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.
GOLGA6L2	1	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
KDM4C	1	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.
ABCB1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.
OGFR	1	.	2:: missense: 2; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
CCT6B	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	2:: missense: 1; splice-site: 1; 	.	.
INTS2	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.
SLCO1B7	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.
NR4A3	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.
PRKCB	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.
FCGR2B	1	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
PSME3	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: nonsense: 1; 	.
NBPF12	1	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
CASC5	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.
HIST1H3E	1	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: frameshift indel: 1; 	.	.	.	.	.	.
CTNNA2	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.
CHCHD7	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.
MAGEA12	1	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
ZNF154	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	2:: missense: 1; splice-site: 1; 	.	.	.
ACKR3	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 
GPR137	1	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.
CUL4B	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.
ADH1B	1	.	1:: nonsense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
ADH1A	1	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
MMP9	1	.	.	.	.	.	.	.	.	.	.	.	.	.	2:: missense: 2; 	.	.	.	.	.	.
PTCH2	1	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.
MMP2	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.
P2RY1	1	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
HSF5	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: splice-site: 1; 	.	.	.	.	.
ACTG2	1	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.
GNPTAB	1	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.
C7orf55	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.
TRPM1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.
RANBP17	1	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
CACNA1H	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.
C12orf57	1	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.
ZNF384	1	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
IL12RB1	1	1:: frameshift indel: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
PRPF31	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.
FAM46A	1	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.
EML4	1	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
MAGI1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.
ZYG11B	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.
TYSND1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.
SETDB1	1	.	1:: nonsense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
CUL3	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	2:: missense: 2; 	.	.	.	.
ERBB3	1	.	.	.	.	.	.	.	.	.	1:: frameshift indel: 1; 	.	.	.	.	.	.	.	.	.	.
TRIM24	1	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.
SLC25A1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.
DIO3	1	.	.	.	.	.	.	.	.	.	1:: unknown: 1; 	.	.	.	.	.	.	.	.	.	.
CDH24	1	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
CREB1	1	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
ALDH16A1	1	.	.	.	.	.	.	.	.	.	1:: frameshift indel: 1; 	.	.	.	.	.	.	.	.	.	.
HIST3H2BB	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 
HMGCR	1	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.
CFAP70	1	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
DICER1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	2:: missense: 2; 	.	.
FGFR3	1	.	.	.	.	2:: missense: 2; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
H2BFM	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 
GMPS	1	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.
KAT8	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.
ATIC	1	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.
AKT1	1	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.
TCF7L1	1	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.
KIT	1	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.
CCDC28A	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.
DOCK2	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.
DOCK1	1	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
ATRAID	1	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.
DOCK4	1	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.
FRS2	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.
CRTC1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.
TNFRSF14	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.
IRS2	1	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.
NDRG1	1	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
RICTOR	1	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.
EIF5B	1	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.
SMO	1	.	.	.	2:: missense: 2; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
EGR3	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.
TNRC18	1	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
EGR1	1	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
PPARGC1A	1	.	.	.	.	.	.	.	.	.	.	.	1:: nonsense: 1; 	.	.	.	.	.	.	.	.
AFF1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.
GAB3	1	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
JMJD1C	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	2:: missense: 2; 	.	.	.	.	.
SMARCAD1	1	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
SLC25A10	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.
CHEK2	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.
TRPM3	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.
EPHB2	1	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.
FCN2	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: splice-site: 1; 	.	.	.	.
EPHB6	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	2:: missense: 2; 	.	.
TUBB8	1	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.
PARP1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: nonsense: 1; 	.	.	.	.	.	.
CDK11B	1	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.
PRKAR1A	1	.	.	.	.	.	.	.	2:: missense: 1; frameshift indel: 1; 	.	.	.	.	.	.	.	.	.	.	.	.
PAX5	1	.	.	.	.	1:: nonsense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
ZNF583	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.
PAX3	1	.	2:: missense: 1; splice-site: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
PAPD5	1	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
PWP1	1	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.
SMARCD1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.
NAA15	1	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: splice-site: 1; 	.	.	.	.	.	.
ESR1	1	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
DDR2	1	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
CD274	1	.	.	.	.	.	.	2:: missense: 2; 	.	.	.	.	.	.	.	.	.	.	.	.	.
PALB2	1	.	2:: missense: 2; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
CYP2E1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.
ZGPAT	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 
XKR3	1	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
STK39	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 
LCK	1	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TFDP1	1	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
CRTC3	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.
ACTC1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 
FSTL3	1	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
GDI2	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.
TCHH	1	.	.	.	.	.	.	.	.	.	1:: frameshift indel: 1; 	.	.	.	.	.	.	.	.	.	.
RASGRF1	1	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.
RAF1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.
BCAS3	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.
APH1A	1	.	1:: splice-site: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
STAT4	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.
STAT2	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.
SEC23B	1	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.
BMP2K	1	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.
SS18L1	1	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.
PTPN6	1	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
CHGA	1	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.
SLC22A18AS	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.
ALOX12B	1	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
CTDSP1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.
THRAP3	1	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
CSK	1	.	.	.	.	.	.	.	.	.	.	.	.	.	2:: missense: 1; splice-site: 1; 	.	.	.	.	.	.
ERCC4	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: nonsense: 1; 	.	.
FOXD4	1	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
EFNA2	1	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
FOXD1	1	.	.	.	.	.	.	.	.	1:: unknown: 1; 	.	.	.	.	.	.	.	.	.	.	.
MAOA	1	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
12-Sep	1	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
NRBF2	1	.	.	.	.	.	.	2:: missense: 2; 	.	.	.	.	.	.	.	.	.	.	.	.	.
LCP1	1	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.
CYP4F22	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	2:: nonsense: 2; 	.	.
TBL1XR1	1	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.
KCNJ5	1	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.
WNT3	1	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
KCNJ8	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.
BOD1L2	1	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
LRRN2	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.
RALGAPA1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.
ZNF619	1	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.
PALLD	1	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.
ADRB3	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: nonsense: 1; 	.	.	.	.
PPP2R1A	1	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
HMGXB4	1	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.
DTX1	1	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.
NAB2	1	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
SLCO1B1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	2:: missense: 1; frameshift indel: 1; 	.	.
BMPR1A	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: nonsense: 1; 	.	.
CRIPAK	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: frameshift indel: 1; 	.	.	.	.	.
TNFSF13B	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.
UCN2	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.
BCL9L	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.
C11orf94	1	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
HIST1H2AG	1	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.
SPTBN1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.
CCNJL	1	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
MLLT4	1	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.
MLLT6	1	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.
RGS4	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.
ZCCHC8	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.
HNRNPA2B1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: splice-site: 1; 	.	.
NUTM2A	1	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: nonsense: 1; 	.	.	.	.	.	.
PLAG1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.
P4HB	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.
ETS1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.
SLC22A1	1	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
POU3F3	1	.	.	.	.	.	.	.	.	.	1:: frameshift indel: 1; 	.	.	.	.	.	.	.	.	.	.
POU3F2	1	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.
KMT2A	1	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
SMARCB1	1	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
FLCN	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.
ANXA6	1	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
MTR	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.
ZNF546	1	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.
NUMB	1	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.
PIGX	1	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
C19orf38	1	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.
DIS3L2	1	.	1:: nonsense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
ARID3B	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.
FOXO4	1	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.
AXIN1	1	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.
UTP14A	1	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
FAM166A	1	.	.	1:: frameshift indel: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
CYC1	1	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.
PDK1	1	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.
PURG	1	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.
L3MBTL1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.
BCL6	1	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
LOC100288966	1	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.
PTGS2	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	2:: missense: 1; nonsense: 1; 	.	.
ERBB2IP	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.
MLH3	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.
KLF6	1	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
AKT2	1	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.
AKT3	1	.	.	.	.	.	.	.	.	.	.	2:: missense: 2; 	.	.	.	.	.	.	.	.	.
PATZ1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.
NBPF9	1	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: unknown: 1; 	.	.	.	.	.	.
AGTPBP1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.
ZNF669	1	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
SLC34A2	1	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.
ARHGAP26	1	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.
JAK3	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	2:: missense: 2; 	.	.
LYN	1	.	.	.	.	.	.	.	.	1:: unknown: 1; 	.	.	.	.	.	.	.	.	.	.	.
BLNK	1	.	.	.	.	.	.	.	.	.	.	.	.	1:: nonsense: 1; 	.	.	.	.	.	.	.
MICALCL	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.
ALOX5	1	.	2:: missense: 2; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
FLI1	1	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.
ZNF367	1	.	.	.	.	.	.	.	1:: nonsense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.
KRT25	1	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
FGF14	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	2:: missense: 2; 	.
ATG2A	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.
SOCS5	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.
ZNF132	1	.	.	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.
